"Timestamp","Category","Name","Message"
"11/28/15 7:29:14 PM","Treasury","Hilman-Hx","Added 2,000 crowns to the guild treasury."
"11/28/15 10:12:37 AM","Guild Hall","Purepwn","Changed the MOTD: 'Guild Meeting on December 5th @ 2:00 PM EDT!  (www.logunners.shivtr.com)'."
"11/27/15 3:29:57 PM","Guild Hall","Purepwn","Changed the MOTD: 'Age is something that doesn't matter, unless you are a cheese - Billie Burke(www.logunners.shivtr.com)'."
"11/27/15 2:54:08 PM","Treasury","Final-Knight","Added 3,000 crowns to the guild treasury."
"11/26/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"11/25/15 8:43:47 AM","Guild Hall","Purepwn","Changed the MOTD: 'If someone as blessed as I am is not willing to clean out the barn, who will? - H. Ross Perot(www.logunners.shivtr.com)'."
"11/23/15 1:42:25 PM","Guild Hall","Purepwn","Changed the MOTD: 'Talent is cheaper than table salt. What seperates talent from the successful is hard work - Stephen King(www.logunners.shivtr.com)'."
"11/22/15 11:52:08 AM","Guild Hall","Purepwn","Changed the MOTD: 'The world does not pay for what a person knows, but it does pay for what a person does with what they know - OOC (www.logunners.shivtr.com)'."
"11/22/15 12:01:34 AM","Treasury","Hilman-Hx","Added 2,000 crowns to the guild treasury."
