"Timestamp","Category","Name","Message"
"4/30/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"4/29/15 8:23:06 AM","Treasury","Fintoivo","Added 1,000 crowns to the guild treasury."
"4/26/15 2:20:24 PM","Treasury","Fintoivo","Added 905 crowns to the guild treasury."
"4/25/15 2:09:59 PM","Treasury","Fintoivo","Added 667 crowns to the guild treasury."
"4/25/15 1:26:45 AM","Membership","Mynameis-Seven","Promoted Fintoivo to Member."
"4/24/15 5:47:21 PM","Treasury","Fintoivo","Added 1,510 crowns to the guild treasury."
"4/23/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"4/22/15 9:21:27 AM","Membership","Mynameis-Seven","Promoted Akane-Akaza to Veteran."
"4/22/15 9:21:23 AM","Membership","Mynameis-Seven","Promoted Akane-Akaza to Member."
