"Timestamp","Category","Name","Message"
"4/12/15 6:30:44 PM","Storage","Haann","Removed Gremlin Gizmo (10 copies) from member storage."
"4/12/15 6:30:44 PM","Storage","Haann","Removed Red Shard (30 copies) from member storage."
"4/12/15 9:13:39 AM","Membership","Don-Bigodon","Left the guild. Farewell!"
"4/11/15 11:33:27 PM","Treasury","Wilful-Carnage","Added 8,000 crowns to the guild treasury."
"4/11/15 1:52:45 PM","Membership","Mynameis-Seven","Promoted Schplasm to Officer."
"4/9/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"4/8/15 1:49:49 AM","Treasury","Haann","Added 20,000 crowns to the guild treasury."
"4/8/15 1:49:39 AM","Storage","Haann","Removed Raptor Recipe from officer storage."
"4/7/15 9:45:15 PM","Membership","Apocrisiary","Left the guild. Farewell!"
"4/7/15 5:44:50 PM","Storage","Haann","Removed Plated Falcon Shade Armor Recipe from officer storage."
"4/7/15 10:54:32 AM","Treasury","Sahzee","Added 8,000 crowns to the guild treasury."
"4/6/15 11:10:54 PM","Membership","Haann","Promoted Unominame to Veteran."
"4/6/15 11:10:25 PM","Treasury","Unominame","Added 25,000 crowns to the guild treasury."
"4/6/15 8:55:28 PM","Membership","Blazeexz","Accepted Haann's invitation to join the guild. Welcome!"
"4/6/15 7:23:37 PM","Membership","Haann","Promoted Apocrisiary to Veteran."
"4/6/15 7:23:34 PM","Membership","Haann","Promoted Apocrisiary to Member."
"4/6/15 1:50:39 AM","Guild Hall","Haann","Published the Guild Hall."
"4/6/15 1:44:30 AM","Treasury","Haann","Bought Spiral Red Wardrobe for 20,515 crowns."
"4/6/15 1:44:09 AM","Treasury","Haann","Added 20,000 crowns to the guild treasury."
"4/6/15 1:34:31 AM","Treasury","Haann","Bought Spiral Red Bed for 20,515 crowns."
"4/6/15 1:32:05 AM","Guild Hall","Haann","Named a room: 'Haann's Room'."
"4/6/15 1:31:02 AM","Treasury","Haann","Added 20,000 crowns to the guild treasury."
"4/6/15 12:23:13 AM","Membership","Apocrisiary","Accepted Haann's invitation to join the guild. Welcome!"
"4/5/15 11:35:20 PM","Membership","Apocrisiary","Left the guild. Farewell!"
"4/4/15 11:18:34 AM","Storage","Schplasm","Removed Flame Soul from veteran storage."
"4/4/15 11:18:02 AM","Treasury","Schplasm","Added 10,000 crowns to the guild treasury."
"4/4/15 12:27:51 AM","Guild Hall","Mynameis-Seven","Published the Guild Hall."
"4/4/15 12:21:48 AM","Guild Hall","Haann","Published the Guild Hall."
"4/4/15 12:16:46 AM","Guild Hall","Mynameis-Seven","Named a room: 'Haan's Room'."
"4/3/15 5:58:37 PM","Membership","Haann","Promoted Schplasm to Veteran."
"4/3/15 5:58:33 PM","Membership","Haann","Promoted Schplasm to Member."
"4/3/15 5:58:12 PM","Membership","Schplasm","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"4/3/15 5:55:46 PM","Membership","Schplasm","Left the guild. Farewell!"
