"Timestamp","Category","Name","Message"
"7/13/14 3:28:59 PM","Storage","Purepwn","Removed Radiant Pulsar Recipe from officer storage."
"7/13/14 3:22:44 PM","Storage","Purepwn","Removed Supernova Recipe from officer storage."
"7/13/14 3:22:44 PM","Storage","Purepwn","Removed Heavy Pulsar Recipe from officer storage."
"7/13/14 3:19:33 PM","Membership","Purepwn","Promoted Mynameis-Seven to Guild Master."
"7/13/14 2:57:35 AM","Treasury","Zodeversatile","Added 1,000 crowns to the guild treasury."
"7/12/14 10:46:44 PM","Membership","Dumb-Spiral-Knight","Promoted True-Alpha to Member."
"7/12/14 10:16:13 PM","Membership","Dumb-Spiral-Knight","Promoted Flareminute to Member."
"7/12/14 10:14:53 PM","Treasury","Flareminute","Added 1,000 crowns to the guild treasury."
"7/12/14 3:55:43 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'Make an account on our site! Be sure to read our charter at: ""www.logunners.shivtr.com"" for the rules and more info!'."
"7/12/14 3:32:03 PM","Membership","Medium-Moose","Promoted Mynameis-Seven to Officer."
"7/12/14 3:32:00 PM","Membership","Medium-Moose","Demoted Mynameis-Seven to Veteran."
"7/12/14 3:31:56 PM","Membership","Medium-Moose","Promoted Mynameis-Seven to Officer."
"7/12/14 3:31:52 PM","Membership","Medium-Moose","Promoted Mynameis-Seven to Veteran."
"7/12/14 3:31:48 PM","Membership","Medium-Moose","Promoted Mynameis-Seven to Member."
"7/12/14 3:31:31 PM","Membership","Mynameis-Seven","Accepted Medium-Moose's invitation to join the guild. Welcome!"
"7/12/14 2:36:24 PM","Membership","Mynameis-Seven","Left the guild. Farewell!"
"7/12/14 2:35:57 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'I'm subbing in GvG -7 ::Make an account on our site! Be sure to read our charter at: ""www.logunners.shivtr.com"" for the rules and more info!'."
"7/12/14 1:41:34 PM","Membership","Raging-Flamez","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"7/12/14 6:17:26 AM","Membership","Treeknight","Accepted Jleung's invitation to join the guild. Welcome!"
"7/12/14 5:01:29 AM","Membership","Treeknight","Left the guild. Farewell!"
"7/12/14 1:41:37 AM","Storage","Blazgunner","Removed Plague Essence from officer storage."
