"Timestamp","Category","Name","Message"
"12/6/15 1:36:07 PM","Treasury","Frosthex","Added 2,000 crowns to the guild treasury."
"12/5/15 11:18:50 PM","Treasury","Hilman-Hx","Added 2,000 crowns to the guild treasury."
"12/5/15 1:48:53 PM","Storage","Final-Knight","Added Hallow Helm-Mounted Display to member storage."
"12/5/15 1:48:53 PM","Storage","Final-Knight","Added Hallow Crest to member storage."
"12/5/15 6:00:06 AM","Treasury","Final-Knight","Added 10,000 crowns to the guild treasury."
"12/3/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"11/28/15 7:29:14 PM","Treasury","Hilman-Hx","Added 2,000 crowns to the guild treasury."
"11/28/15 10:12:37 AM","Guild Hall","Purepwn","Changed the MOTD: 'Guild Meeting on December 5th @ 2:00 PM EDT!  (www.logunners.shivtr.com)'."
"11/27/15 3:29:57 PM","Guild Hall","Purepwn","Changed the MOTD: 'Age is something that doesn't matter, unless you are a cheese - Billie Burke(www.logunners.shivtr.com)'."
"11/27/15 2:54:08 PM","Treasury","Final-Knight","Added 3,000 crowns to the guild treasury."
