"Timestamp","Category","Name","Message"
"8/9/15 9:48:54 AM","Treasury","Frosthex","Added 2,000 crowns to the guild treasury."
"8/6/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"8/4/15 8:21:24 PM","Treasury","Redplusgreen","Added 1,000 crowns to the guild treasury."
"8/4/15 6:57:03 PM","Storage","Rhons","Removed Elite Trueshot Module from officer storage."
"8/4/15 6:48:56 PM","Storage","Rhons","Removed Pulsar (2 copies) from officer storage."
"8/4/15 6:48:56 PM","Storage","Rhons","Removed Shadow Driver from officer storage."
"8/4/15 6:48:56 PM","Storage","Rhons","Removed Elemental Hood from officer storage."
"8/4/15 6:48:56 PM","Storage","Rhons","Removed Elemental Cloak from officer storage."
"8/3/15 10:10:11 AM","Treasury","Frosthex","Added 2,000 crowns to the guild treasury."
"8/3/15 1:53:38 AM","Membership","Cakemask","Left the guild. Farewell!"
"8/2/15 10:55:36 AM","Membership","Devinplays","Accepted Rhons's invitation to join the guild. Welcome!"
"8/2/15 10:19:01 AM","Storage","Rhons","Removed Gilded Griffin Recipe from officer storage."
"8/1/15 7:14:57 PM","Guild Hall","Purepwn","Changed the MOTD: 'Guild Lottery winners have been selected! Stay tuned with guild news and watch your mailbox in the next few days! (www.logunners.shivtr.com)'."
"8/1/15 6:13:10 AM","Membership","Spike-Rage","Left the guild. Farewell!"
"8/1/15 1:29:36 AM","Membership","Cakemask","Accepted Rhons's invitation to join the guild. Welcome!"
