"Timestamp","Category","Name","Message"
"9/11/15 8:36:59 PM","Membership","Firebeetles","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"9/10/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"9/9/15 3:06:06 PM","Treasury","Frosthex","Added 2,000 crowns to the guild treasury."
"9/9/15 9:00:18 AM","Treasury","Purepwn","Added 59,655 crowns to the guild treasury."
"9/3/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
