"Timestamp","Category","Name","Message"
"7/13/15 6:00:02 PM","Storage","Mynameis-Seven","Removed Raptor Recipe from officer storage."
"7/13/15 5:19:08 PM","Membership","Khyrstis","Left the guild. Farewell!"
"7/12/15 11:06:08 PM","Membership","Xx-Outlaw-Xx","Accepted Rhons's invitation to join the guild. Welcome!"
"7/12/15 11:19:50 AM","Guild Hall","Purepwn","Changed the MOTD: 'The next event is Guild Ragecrafting! For more information, please contact an Officer or consult the site. (www.logunners.shivtr.com)'."
"7/11/15 3:40:36 PM","Guild Hall","Rhons","Changed the MOTD: 'Lockdown Betting Starts Today! For more information, please contact an Officer or consult the site. (Visit us at ""www.logunners.shivtr.com)'."
"7/11/15 8:12:03 AM","Membership","Khyrstis","Accepted Rhons's invitation to join the guild. Welcome!"
"7/10/15 2:29:36 PM","Membership","Rhons","Promoted Jwilliam to Member."
"7/10/15 2:29:32 PM","Membership","Rhons","Promoted Kaerose to Member."
"7/10/15 2:29:26 PM","Membership","Rhons","Promoted Kurayami-No-Hikari to Member."
"7/10/15 2:29:10 PM","Membership","Rhons","Promoted Senpai-Ember to Member."
"7/10/15 2:29:06 PM","Membership","Rhons","Promoted Viamus to Member."
"7/10/15 2:28:52 PM","Membership","Rhons","Promoted Slapthatbat to Member."
"7/10/15 12:03:37 AM","Treasury","Aeskau","Added 50,000 crowns to the guild treasury."
"7/9/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"7/8/15 6:17:16 PM","Membership","Purple-Underdog","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"7/7/15 5:15:22 PM","Treasury","Frosthex","Added 4,000 crowns to the guild treasury."
"7/6/15 6:10:55 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'Upcoming Event: Lockdown Betting (July 11, 2015) ||  See the site for details. (Visit us at ""www.logunners.shivtr.com)'."
"7/6/15 6:06:52 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'Upcoming Event: Lockdown Betting ||  See the site for details. (Visit us at ""www.logunners.shivtr.com)'."
