"Timestamp","Category","Name","Message"
"7/10/15 2:29:36 PM","Membership","Rhons","Promoted Jwilliam to Member."
"7/10/15 2:29:32 PM","Membership","Rhons","Promoted Kaerose to Member."
"7/10/15 2:29:26 PM","Membership","Rhons","Promoted Kurayami-No-Hikari to Member."
"7/10/15 2:29:10 PM","Membership","Rhons","Promoted Senpai-Ember to Member."
"7/10/15 2:29:06 PM","Membership","Rhons","Promoted Viamus to Member."
"7/10/15 2:28:52 PM","Membership","Rhons","Promoted Slapthatbat to Member."
"7/10/15 12:03:37 AM","Treasury","Aeskau","Added 50,000 crowns to the guild treasury."
"7/9/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"7/8/15 6:17:16 PM","Membership","Purple-Underdog","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"7/7/15 5:15:22 PM","Treasury","Frosthex","Added 4,000 crowns to the guild treasury."
"7/6/15 6:10:55 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'Upcoming Event: Lockdown Betting (July 11, 2015) ||  See the site for details. (Visit us at ""www.logunners.shivtr.com)'."
"7/6/15 6:06:52 PM","Guild Hall","Mynameis-Seven","Changed the MOTD: 'Upcoming Event: Lockdown Betting ||  See the site for details. (Visit us at ""www.logunners.shivtr.com)'."
"7/2/15 9:49:44 PM","Membership","Kaerose","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added 10 crowns to the guild treasury."
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added Blue Shard (10 copies) to the Treasury."
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added Dark Shard (10 copies) to the Treasury."
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added Red Shard (10 copies) to the Treasury."
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added Green Shard (10 copies) to the Treasury."
"7/2/15 9:39:18 PM","Treasury","Ghosteh-Unknown","Added Light Shard (10 copies) to the Treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added 2,000 crowns to the guild treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added Ironwood to the Treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added Trojan Horseshoe to the Treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added Cooling Cell (6 copies) to the Treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added Beast Scale (27 copies) to the Treasury."
"7/2/15 9:31:49 PM","Treasury","Ghosteh-Unknown","Added Snarbostuffing to the Treasury."
"7/2/15 12:35:19 PM","Upkeep","","Upkeep paid! 30,650 crowns removed from the guild treasury."
"7/1/15 7:38:36 PM","Treasury","Final-Knight","Added 3,000 crowns to the guild treasury."
"7/1/15 7:37:21 PM","Guild Hall","Purepwn","Published the Guild Hall."
"7/1/15 5:53:56 PM","Membership","Senpai-Ember","Accepted Mynameis-Seven's invitation to join the guild. Welcome!"
"7/1/15 5:33:48 PM","Membership","Rhons","Promoted Zaksoz to Member."
"7/1/15 1:59:49 PM","Membership","Kurayami-No-Hikari","Accepted Rhons's invitation to join the guild. Welcome!"
